Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,14658.8341,24191.2648,12456.3011,617588.4903,101763.6993,17013.4465,56551.4106,10587.2686,76243.0297,51189.5217,22379.3463,26267.01,46371.5833,16471.3955,12728.6214,,7659.6247,28403.9049,67082.1955,5294.1943,9245.8141,11555.6381,9681.9286,7660.542,10937.8707,27294.457,6144.9873,34740.92,,10510.6912,11247.594,108768.9066,17533.8168,44992.4731,356313.1292,6794.1493,8002.895,29342.88,8234.7909,,31271.2973,20729.748,18241.0511,8825.2915,7792.7745,26837.4351,24327.28,70527.7613,6248.9891,12880.324
2017-01-03,14958.0596,23989.196,12565.3085,619348.1536,101422.4285,17975.1991,57493.6887,10538.191,75806.9089,51453.0521,22343.9067,26577.726,46696.428,16954.3428,12709.2106,,7685.9917,28473.2822,66887.0398,5366.0302,9295.6375,11709.875,9903.5062,7726.6842,10847.8826,27312.8694,6212.1981,34385.6519,,10594.1094,11391.0819,112131.4362,17677.6403,45192.5721,358118.762,6814.5099,8077.3083,29487.5817,8260.8779,,31179.9752,20800.6981,18292.5107,8781.6138,7834.8124,27231.3382,24254.4973,71154.1605,6241.8698,12860.7436
2017-01-04,15154.3258,24196.4461,12668.4236,618654.9529,102852.5156,18421.2608,57950.1047,10613.0343,75989.1684,51781.2219,22299.2219,26531.694,46768.6158,17252.5683,12723.7687,,7620.0741,28734.4675,67760.1046,5421.3325,9413.0786,11841.583,10201.5675,7791.2326,10993.3428,27386.5187,6330.2971,34708.6229,,10594.1094,11527.6267,113723.4303,18207.1002,45273.4632,359786.5965,7142.3871,8171.6229,29811.1874,8333.9215,,31451.7671,20954.9373,18969.6098,9003.9733,7878.9522,27766.4518,24354.7452,70647.4554,6419.8529,12960.4255
2017-01-05,14974.147,23776.7647,12659.5851,621801.0175,103632.5632,18208.0216,68530.1381,10505.0636,74850.0468,52661.3137,21978.7245,26336.058,46488.8884,17121.2601,12786.8538,,7521.1978,28546.7406,67380.0646,5423.613,9434.4315,12053.0088,10166.6999,7556.1489,10818.2974,27261.3148,6364.8626,34557.9031,,10418.0043,11381.8246,113805.2618,17976.3505,45115.9384,370843.7218,7157.1311,8194.9852,29855.9134,8295.6606,,31140.8371,20843.8851,18853.1488,8971.4135,7840.0672,28197.5156,24503.0571,69534.3001,6356.6689,12981.7859
2017-01-06,15440.6814,23942.5647,12493.8645,619949.0749,103665.0651,18451.7236,70394.434,10609.3535,75702.7607,53849.6863,22065.0123,25731.888,46520.4705,17648.7186,12883.9077,,7791.4599,28644.6851,68622.8982,5472.0737,9455.7844,12094.6008,10213.9398,7497.1787,10722.1457,27305.5044,6326.4565,34493.3089,,10492.1538,11587.7991,116632.1673,18279.8022,44817.9186,378227.8097,7110.793,8129.2246,30084.8052,8299.1388,,31388.7114,21001.209,18733.9793,8911.0588,7794.8764,28175.2192,24718.6588,70455.9448,6442.9907,12965.7656
2017-01-09,15488.9436,24393.3336,12486.4991,625627.5161,104347.6067,18599.6855,70325.386,10455.986,74856.5561,53983.9376,22169.7903,25749.15,46231.7196,17713.26,12614.5831,,7600.2989,28371.2567,68181.2301,5365.4601,9324.1081,12130.9938,10176.8228,7553.7582,10782.5487,26915.1628,6281.3292,35289.9708,,10649.7215,11485.969,118164.6476,18207.1002,44711.483,378669.7146,6987.2247,8158.6438,29834.8659,8243.4866,,31812.7069,20785.2742,18433.3473,8818.9384,7693.9855,28019.1444,24336.8928,70607.5574,6457.2294,12700.5406
2017-01-10,15476.0737,25118.7089,12515.224,626258.454,104120.0929,18458.2513,71274.796,10589.7225,74895.6117,53829.7972,22296.1402,25582.284,46109.9029,17800.0569,12609.7304,,7468.4637,28334.5275,69023.4809,5370.5912,9327.6669,12179.5178,10109.3372,7660.542,11340.9681,27158.2057,6192.995,35666.7704,,10603.3781,11541.5127,118105.1338,18132.8178,44064.3543,378185.0447,7050.413,8149.9911,29632.2834,8306.0954,,31584.4016,20911.7503,19086.0709,8803.0556,7702.3931,28524.5295,24281.9624,72043.8867,6472.358,12588.3985
2017-01-11,15846.0838,25201.6089,12773.7483,629623.4562,99358.5528,17740.2007,70912.294,10595.8572,75585.5939,54192.7729,22379.3463,25323.354,46561.0761,17998.1321,12665.5364,,7758.5011,28510.0114,68766.6971,5404.7988,9338.3434,12151.7898,10494.0049,7650.1824,11562.8566,27228.1726,6308.2135,36032.8043,,10380.9296,11566.9702,116513.1397,18184.9735,44204.8494,379667.5643,6983.7142,8107.5928,29642.8072,8401.7476,,31747.4768,20921.0047,19375.8693,8704.5821,7786.4689,29133.9645,24055.3747,71585.0593,6469.6882,12561.698
2017-01-12,15611.2078,24921.8213,12850.348,626994.5482,99586.0667,18247.1879,70290.862,10692.7854,75364.2788,53993.8821,22256.078,24995.376,46831.78,17949.1697,12607.304,,7633.2577,28391.6618,68047.7025,5406.5092,9356.1375,12118.8628,10544.6191,7614.3221,11496.2901,27132.4284,6348.54,35860.553,,9973.1074,11673.4289,115575.7973,18189.7149,44362.3741,386614.4991,6950.7159,8124.033,29642.8072,8318.2693,,31710.5131,20967.2764,19245.8663,8680.7578,7830.6086,29081.9395,24250.3775,71361.6303,6418.963,12583.0584
2017-01-13,15665.905,24688.665,12873.9172,625890.4069,100739.8869,18412.5572,70653.364,10676.8352,76125.8629,53964.0485,22394.7548,25064.424,46818.2448,18098.2824,12609.7304,,7725.5423,28420.2289,68150.416,5406.5092,9397.0639,12134.4598,10572.7381,7650.9793,11626.9578,27209.7602,6289.0104,36377.3067,,9806.271,11724.3439,116141.1784,18218.1635,44043.0672,388277.5819,7039.8816,8136.1468,29805.9255,8427.8346,,31603.9706,21010.4634,19400.2449,8699.8172,7867.3918,28948.1611,24205.06,71996.0091,6420.7428,12606.1988
