Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,3.479,6.2577,4.277,4.5977,21.5106,8.0159,2.7545,1.4571,10.141,6.8531,4.3324,1.5232,12.0935,15.5303,1.7917,,2.7415,1.379,0.852,1.2676,2.5759,3.5829,2.5523,7.6829,3.7335,1.4454,53.8176,4.8202,,25.4877,3.4232,3.6128,2.7287,9.4252,18.5475,6.1855,3.5887,5.3371,5.9592,,4.3697,5.6376,6.3387,2.0822,2.107,2.952,2.3918,3.7267,6.7002,2.4697
2017-01-03,3.55,6.2055,4.3144,4.6108,21.4385,8.469,2.8004,1.4504,10.083,6.8884,4.3255,1.5412,12.1782,15.9856,1.789,,2.7509,1.3824,0.8495,1.2848,2.5898,3.6307,2.6107,7.7492,3.7028,1.4464,54.4062,4.7709,,25.69,3.4669,3.7245,2.7511,9.4671,18.6415,6.204,3.6221,5.3635,5.9781,,4.357,5.6569,6.3566,2.0719,2.1184,2.9954,2.3847,3.7598,6.6926,2.466
2017-01-04,3.5966,6.2591,4.3498,4.6056,21.7408,8.6792,2.8227,1.4607,10.1072,6.9324,4.3169,1.5385,12.1971,16.2668,1.7911,,2.7273,1.395,0.8606,1.298,2.6225,3.6716,2.6893,7.8139,3.7524,1.4503,55.4405,4.8157,,25.69,3.5085,3.7774,2.8335,9.484,18.7283,6.5025,3.6643,5.4223,6.031,,4.3949,5.6989,6.5919,2.1243,2.1303,3.0542,2.3945,3.733,6.8834,2.4851
2017-01-05,3.5538,6.1505,4.3468,4.629,21.9056,8.5787,2.8471,1.4458,9.9557,7.0502,4.2548,1.5272,12.1241,16.143,1.7999,,2.6919,1.3859,0.8558,1.2986,2.6284,3.7371,2.6801,7.5782,3.6927,1.4437,55.7432,4.7948,,25.263,3.4641,3.7801,2.7976,9.451,19.3038,6.5159,3.6748,5.4305,6.0033,,4.3515,5.6687,6.5514,2.1167,2.1198,3.1016,2.4091,3.6742,6.8157,2.4892
2017-01-06,3.6646,6.1934,4.2899,4.6806,21.9125,8.6935,2.9245,1.4602,10.0691,7.2093,4.2715,1.4921,12.1323,16.6403,1.8136,,2.7887,1.3907,0.8715,1.3102,2.6344,3.75,2.6925,7.519,3.6599,1.446,55.4069,4.7858,,25.4428,3.5268,3.874,2.8448,9.3886,19.6882,6.4737,3.6453,5.4721,6.0058,,4.3861,5.7115,6.51,2.1024,2.1076,3.0992,2.4303,3.7229,6.9082,2.4861
2017-01-09,3.676,6.31,4.2873,4.7235,22.0568,8.7632,2.9216,1.4391,9.9566,7.2273,4.2918,1.4931,12.057,16.7012,1.7757,,2.7202,1.3774,0.8659,1.2847,2.5977,3.7613,2.6827,7.5758,3.6805,1.4253,55.0117,4.8963,,25.8249,3.4958,3.9249,2.8335,9.3663,19.7112,6.3612,3.6585,5.4266,5.9655,,4.4454,5.6527,6.4055,2.0807,2.0803,3.082,2.3928,3.7309,6.9235,2.4353
2017-01-10,3.673,6.4977,4.2972,4.7283,22.0087,8.6966,2.9611,1.4575,9.9618,7.2066,4.3163,1.4835,12.0253,16.783,1.775,,2.6731,1.3756,0.8766,1.2859,2.5987,3.7763,2.665,7.6829,3.8711,1.4382,54.238,4.9486,,25.7125,3.5127,3.9229,2.8219,9.2308,19.686,6.4188,3.6546,5.3898,6.0108,,4.4135,5.6871,6.6323,2.0769,2.0826,3.1376,2.3874,3.8068,6.9397,2.4138
2017-01-11,3.7608,6.5191,4.386,4.7537,21.0022,8.3583,2.946,1.4583,10.0536,7.2552,4.3324,1.4685,12.1429,16.9698,1.7829,,2.7769,1.3841,0.8734,1.2941,2.6017,3.7678,2.7664,7.6725,3.9468,1.4419,55.2471,4.9994,,25.1731,3.5204,3.87,2.83,9.2602,19.7632,6.358,3.6356,5.3917,6.08,,4.4363,5.6897,6.733,2.0537,2.1053,3.2046,2.3651,3.7825,6.9368,2.4086
2017-01-12,3.705,6.4467,4.4123,4.7338,21.0503,8.5971,2.9202,1.4717,10.0241,7.2286,4.3085,1.4494,12.2135,16.9236,1.7747,,2.732,1.3784,0.8642,1.2945,2.6066,3.7575,2.7797,7.6365,3.9241,1.4369,55.6003,4.9755,,24.1841,3.5528,3.8389,2.8308,9.2932,20.1248,6.328,3.643,5.3917,6.0196,,4.4311,5.7022,6.6879,2.0481,2.1173,3.1989,2.3843,3.7707,6.8825,2.4127
2017-01-13,3.718,6.3864,4.4203,4.7255,21.2942,8.6751,2.9353,1.4695,10.1254,7.2246,4.3353,1.4534,12.21,17.0642,1.775,,2.7651,1.3798,0.8655,1.2945,2.618,3.7624,2.7871,7.6733,3.9687,1.4409,55.0789,5.0472,,23.7796,3.5683,3.8577,2.8352,9.2263,20.2113,6.4092,3.6484,5.4214,6.0989,,4.4162,5.714,6.7415,2.0526,2.1272,3.1842,2.3798,3.8042,6.8844,2.4172
