Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,28.2746,7.0243,24.6739,13.8619,14.1639,12.9119,25.3435,12.1465,20.8351,44.3493,24.3866,21.3208,28.6692,176.8254,19.5019,,12.688,11.6484,116.8096,8.7592,18.8457,34.3646,24.3492,41.0812,12.1495,16.9075,19.1095,18.6877,,,21.1073,13.3922,13.0862,53.6134,152.454,35.4349,30.6422,23.4253,25.4373,,24.9542,24.7983,9.693,141.6748,21.5552,29.0432,37.3446,54.6645,17.4269,25.763
2017-01-03,28.8517,6.9656,24.8898,13.9014,14.1164,13.6418,25.7658,12.0902,20.7159,44.5776,24.348,21.573,28.8701,176.8254,19.4721,,12.7316,11.6769,116.4698,8.878,18.9473,34.8233,24.9065,41.4359,12.0495,16.9189,19.3185,18.4966,,,21.3765,13.8062,13.1935,53.8518,153.2265,35.5411,30.9271,23.5409,25.5179,,24.8813,24.8832,9.7203,140.9736,21.6715,29.4694,37.2329,55.15,17.407,25.7238
2017-01-04,29.2303,7.0258,25.0941,13.8859,14.3154,13.9803,25.9703,12.1761,20.7657,44.862,24.2993,21.5356,28.9147,176.8254,19.4944,,12.6224,11.784,117.99,8.9695,19.1867,35.2149,25.6561,41.7821,12.2111,16.9645,19.6857,18.6703,,,21.6328,14.0022,13.5887,53.9482,153.9401,37.2512,31.2883,23.7992,25.7436,,25.0982,25.0677,10.0801,144.5432,21.7936,30.0485,37.3868,54.7573,17.9034,25.9232
2017-01-05,28.8827,6.9039,25.0766,13.9565,14.424,13.8185,26.1947,12.0522,20.4544,45.6245,23.9501,21.3768,28.7417,176.8254,19.5911,,12.4587,11.707,117.3283,8.9733,19.2302,35.8437,25.5684,40.5214,12.0166,16.8869,19.7932,18.5893,,,21.3592,14.0123,13.4165,53.7605,158.6711,37.3281,31.3777,23.8349,25.6254,,24.8501,24.9349,10.0183,144.0205,21.686,30.515,37.6144,53.8945,17.7272,25.966
2017-01-06,29.7826,6.9521,24.7483,14.1121,14.4285,14.0034,26.9073,12.1719,20.6874,46.654,24.0441,20.8864,28.7613,176.8254,19.7398,,12.9063,11.7472,119.4924,9.0535,19.2737,35.9674,25.6872,40.2051,11.9098,16.9143,19.6738,18.5545,,,21.7457,14.3603,13.643,53.4054,161.8305,37.0864,31.1259,24.0176,25.6361,,25.0479,25.1231,9.9549,143.0516,21.561,30.4909,37.9454,54.6089,17.9679,25.9339
2017-01-09,29.8757,7.083,24.7337,14.2413,14.5235,14.1157,26.8809,11.9959,20.4562,46.7703,24.1583,20.9004,28.5827,176.8254,19.3271,,12.5897,11.6351,118.7233,8.8771,19.0053,36.0756,25.5939,40.5085,11.9769,16.6725,19.5334,18.983,,,21.5546,14.549,13.5887,53.2786,162.0196,36.4419,31.2386,23.8181,25.4642,,25.3862,24.8648,9.7952,141.5728,21.282,30.322,37.3593,54.7264,18.0076,25.4034
2017-01-10,29.8509,7.2936,24.7906,14.2557,14.4918,14.0084,27.2438,12.1494,20.4669,46.6368,24.296,20.765,28.5074,176.8254,19.3197,,12.3713,11.62,120.1899,8.8856,19.0126,36.2199,25.4241,41.0812,12.5972,16.8231,19.2588,19.1857,,,21.6588,14.5417,13.5333,52.5074,161.8122,36.7715,31.2054,23.6564,25.6576,,25.204,25.0161,10.142,141.3178,21.3052,30.8689,37.275,55.8396,18.0498,25.1791
2017-01-11,30.5646,7.3177,25.3027,14.3323,13.8291,13.4634,27.1052,12.1564,20.6554,46.9513,24.3866,20.5548,28.7864,176.8254,19.4052,,12.8517,11.692,119.7428,8.9422,19.0343,36.1374,26.3915,41.0256,12.8437,16.8664,19.6171,19.3826,,,21.7066,14.3457,13.5722,52.6749,162.4465,36.4236,31.0431,23.6648,25.9531,,25.3341,25.0271,10.296,139.737,21.5378,31.5284,36.9272,55.484,18.0424,25.1257
2017-01-12,30.1115,7.2364,25.4544,14.2724,13.8608,13.8482,26.8677,12.2676,20.5949,46.779,24.2523,20.2886,28.9537,176.8254,19.316,,12.6443,11.6434,118.4908,8.945,19.0706,36.0395,26.5188,40.8333,12.7697,16.8071,19.7425,19.29,,,21.9064,14.2303,13.5757,52.8626,165.4189,36.2515,31.106,23.6648,25.6952,,25.3046,25.0825,10.2269,139.3546,21.6599,31.4721,37.2265,55.3108,17.9009,25.1684
2017-01-13,30.217,7.1687,25.5011,14.2473,14.0214,13.9737,27.0063,12.2493,20.8031,46.7531,24.4034,20.3447,28.9454,176.8254,19.3197,,12.7971,11.6551,118.6697,8.945,19.154,36.0859,26.5895,41.0299,12.9149,16.855,19.5573,19.5679,,,22.0019,14.2999,13.597,52.4821,166.1304,36.7166,31.1524,23.795,26.0337,,25.2196,25.1342,10.309,139.6605,21.7616,31.3274,37.157,55.8025,17.9059,25.2147
