Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,45.56,46.69,169.12,28.955,62.62,78.19,38.41,28.7633,117.13,102.95,72.62,45.65,102.78,74.01,52.46,,11.62,34.8,65.31,92.86,51.96,66.68,86.08,96.13,88.73,74.12,64.0,32.27,,11.34,48.6,146.21,110.94,105.68,37.494,24.1925,92.49,111.53,47.35,,143.82,33.6,56.4113,111.13,74.15,36.11,177.15,176.77,70.22,72.36
2017-01-03,46.49,46.3,170.6,29.038,62.41,82.61,39.05,28.63,116.46,103.48,72.505,46.19,103.5,76.18,52.38,,11.66,34.885,65.12,94.12,52.24,67.57,88.05,96.96,88.0,74.17,64.7,31.94,,11.43,49.22,150.73,111.85,106.15,37.683,24.265,93.35,112.08,47.5,,143.4,33.715,56.5704,110.58,74.55,36.64,176.62,178.34,70.14,72.25
2017-01-04,47.1,46.7,172.0,29.005,63.29,84.66,39.36,28.8333,116.74,104.14,72.36,46.11,103.66,77.52,52.44,,11.56,35.205,65.97,95.09,52.9,68.33,90.7,97.77,89.18,74.37,65.93,32.24,,11.43,49.81,152.87,115.2,106.34,37.859,25.4325,94.44,113.31,47.92,,144.65,33.965,58.6644,113.38,74.97,37.36,177.35,177.07,72.14,72.81
2017-01-05,46.54,45.89,171.88,29.153,63.77,83.68,39.7,28.54,114.99,105.91,71.32,45.77,103.04,76.93,52.7,,11.41,34.975,65.6,95.13,53.02,69.55,90.39,94.82,87.76,74.03,66.29,32.1,,11.24,49.18,152.98,113.74,105.97,39.023,25.485,94.71,113.48,47.7,,143.22,33.785,58.3042,112.97,74.6,37.94,178.43,174.28,71.43,72.93
2017-01-06,47.99,46.21,169.63,29.478,63.79,84.8,40.78,28.8233,116.3,108.3,71.6,44.72,103.11,79.3,53.1,,11.82,35.095,66.81,95.98,53.14,69.79,90.81,94.08,86.98,74.15,65.89,32.04,,11.32,50.07,156.78,115.66,105.27,39.8,25.32,93.95,114.35,47.72,,144.36,34.04,57.9357,112.21,74.17,37.91,180.0,176.59,72.4,72.84
2017-01-09,48.14,47.08,169.53,29.748,64.21,85.48,40.74,28.4067,115.0,108.57,71.94,44.75,102.47,79.59,51.99,,11.53,34.76,66.38,94.11,52.4,70.0,90.48,94.79,87.47,73.09,65.42,32.78,,11.49,49.63,158.84,115.2,105.02,39.846,24.88,94.29,113.4,47.4,,146.31,33.69,57.006,111.05,73.21,37.7,177.22,176.97,72.56,71.35
2017-01-10,48.1,48.48,169.92,29.778,64.07,84.83,41.29,28.77,115.06,108.26,72.35,44.46,102.2,79.98,51.97,,11.33,34.715,67.2,94.2,52.42,70.28,89.88,96.13,92.0,73.75,64.5,33.13,,11.44,49.87,158.76,114.73,103.5,39.795,25.105,94.19,112.63,47.76,,145.26,33.895,59.0245,110.85,73.29,38.38,176.82,180.57,72.73,70.72
2017-01-11,49.25,48.64,173.43,29.938,61.14,81.53,41.08,28.7867,116.12,108.99,72.62,44.01,103.2,80.87,52.2,,11.77,34.93,66.95,94.8,52.48,70.12,93.3,96.0,93.8,73.94,65.7,33.47,,11.2,49.98,156.62,115.06,103.83,39.951,24.8675,93.7,112.67,48.31,,146.01,33.91,59.9208,109.61,74.09,39.2,175.17,179.42,72.7,70.57
2017-01-12,48.52,48.1,174.47,29.813,61.28,83.86,40.72,29.05,115.78,108.59,72.22,43.44,103.8,80.65,51.96,,11.58,34.785,66.25,94.83,52.58,69.93,93.75,95.55,93.26,73.68,66.12,33.31,,10.76,50.44,155.36,115.09,104.2,40.682,24.75,93.89,112.67,47.83,,145.84,33.985,59.5187,109.31,74.51,39.13,176.59,178.86,72.13,70.69
2017-01-13,48.69,47.65,174.79,29.76,61.99,84.62,40.93,29.0067,116.95,108.53,72.67,43.56,103.77,81.32,51.97,,11.72,34.82,66.35,94.83,52.81,70.02,94.0,96.01,94.32,73.89,65.5,33.79,,10.58,50.66,156.12,115.27,103.45,40.857,25.0675,94.03,113.29,48.46,,145.35,34.055,59.9961,109.55,74.86,38.95,176.26,180.45,72.15,70.82
