Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-03,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-04,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-05,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-06,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-09,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-10,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-11,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-12,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-13,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-16,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-17,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
2017-01-18,6.0499,5.3687,5.5906,14.4828,9.9925,4.1609,2.9815,2.6384,22.3607,9.5709,11.4666,3.2005,4.2406,-8.7848,2.7018,0.9763,-3.1132,2.1434,-0.1706,1.8927,3.9321,7.3907,7.2489,14.8492,9.8229,1.7602,10.1587,11.5202,,-15.5191,7.4435,10.3599,0.9209,3.3104,3.2008,12.7515,9.6063,5.2189,11.8293,-6.7938,3.4158,10.3127,10.3606,-0.6852,3.698,5.9147,5.9428,-5.7506,7.5193,2.6202
