Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-01-02,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-03,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-04,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-05,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-06,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-09,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-10,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-11,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-12,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
2017-01-13,8.7373,12.1251,13.0298,22.6093,17.4944,23.339,4.7207,8.778,62.821,13.4551,14.6657,6.2391,29.0226,,6.0574,3.0597,1.9167,11.6728,0.4137,11.1257,8.7597,8.6529,10.634,13.5701,18.479,7.9819,17.976,16.4779,,-21.5234,10.7841,14.1694,8.6014,3.8483,7.5839,18.8357,12.0693,14.3191,18.7895,-6.6112,5.5005,13.8078,21.6274,-0.5603,6.5271,8.7126,6.1682,-6.7148,17.0162,5.5449
